feedback_id,complaint_id,resident_id,rating,comment,sentiment_label
FB0089,CMP0132,RES600,3,Okay work.,Neutral
FB0090,CMP0170,RES433,5,Satisfied with service.,Positive
FB0091,CMP0091,RES121,2,Staff was rude.,Negative
FB0092,CMP0086,RES316,3,Average service.,Neutral
FB0093,CMP0175,RES292,1,Waste of time.,Negative
FB0094,CMP0182,RES285,3,Okay work.,Neutral
FB0095,CMP0159,RES246,2,Staff was rude.,Negative
FB0096,CMP0150,RES690,3,Fixed for now.,Neutral
FB0097,CMP0069,RES663,4,Satisfied with service.,Positive
FB0098,CMP0035,RES489,3,Okay work.,Neutral
FB0099,CMP0102,RES812,3,Okay work.,Neutral
FB0100,CMP0143,RES758,4,Issue fixed permanently.,Positive
FB0101,CMP0174,RES260,2,Staff was rude.,Negative
FB0102,CMP0105,RES268,2,Staff was rude.,Negative
FB0103,CMP0117,RES198,3,Took some time but fixed.,Neutral
FB0104,CMP0181,RES425,5,"Quick resolution, thanks!",Positive
FB0105,CMP0114,RES171,1,Waste of time.,Negative
FB0106,CMP0237,RES128,3,Fixed for now.,Neutral
FB0107,CMP0006,RES172,1,Waste of time.,Negative
FB0108,CMP0240,RES739,4,Issue fixed permanently.,Positive
FB0109,CMP0162,RES912,3,Took some time but fixed.,Neutral
FB0110,CMP0174,RES208,3,Okay work.,Neutral
FB0111,CMP0027,RES906,2,Terrible service.,Negative
FB0112,CMP0156,RES847,2,Terrible service.,Negative
FB0113,CMP0233,RES612,1,Unprofessional.,Negative
FB0114,CMP0175,RES640,5,Issue fixed permanently.,Positive
FB0115,CMP0022,RES771,3,Fixed for now.,Neutral
FB0116,CMP0101,RES524,1,Staff was rude.,Negative
FB0117,CMP0061,RES316,2,Terrible service.,Negative
FB0118,CMP0216,RES369,2,Staff was rude.,Negative
FB0119,CMP0249,RES872,5,Satisfied with service.,Positive
FB0120,CMP0058,RES914,1,Took 3 days to come.,Negative
FB0121,CMP0015,RES137,2,Waste of time.,Negative
FB0122,CMP0189,RES606,3,Okay work.,Neutral
FB0123,CMP0237,RES494,4,Issue fixed permanently.,Positive
FB0124,CMP0108,RES340,5,Excellent work.,Positive
FB0125,CMP0101,RES268,3,Took some time but fixed.,Neutral
FB0126,CMP0186,RES889,3,Took some time but fixed.,Neutral
FB0127,CMP0029,RES461,2,Waste of time.,Negative
FB0128,CMP0094,RES669,4,Issue fixed permanently.,Positive
FB0129,CMP0034,RES330,4,Satisfied with service.,Positive
FB0130,CMP0157,RES479,1,Took 3 days to come.,Negative
FB0131,CMP0211,RES501,2,Took 3 days to come.,Negative
FB0132,CMP0042,RES480,3,Could be better.,Neutral
FB0133,CMP0117,RES880,1,Took 3 days to come.,Negative
FB0134,CMP0136,RES544,5,Satisfied with service.,Positive
FB0135,CMP0044,RES146,1,Still not working.,Negative
FB0136,CMP0142,RES368,1,Unprofessional.,Negative
FB0137,CMP0246,RES139,2,Terrible service.,Negative
FB0138,CMP0118,RES811,2,Still not working.,Negative
FB0139,CMP0164,RES887,4,Issue fixed permanently.,Positive
FB0140,CMP0214,RES874,3,Fixed for now.,Neutral
FB0141,CMP0134,RES694,4,Satisfied with service.,Positive
FB0142,CMP0214,RES983,3,Could be better.,Neutral
FB0143,CMP0205,RES430,4,Satisfied with service.,Positive
FB0144,CMP0151,RES486,4,"Quick resolution, thanks!",Positive
FB0145,CMP0090,RES213,5,"Quick resolution, thanks!",Positive
FB0146,CMP0131,RES113,5,Satisfied with service.,Positive
FB0147,CMP0071,RES550,2,Unprofessional.,Negative
FB0148,CMP0175,RES996,4,"Quick resolution, thanks!",Positive
FB0149,CMP0006,RES864,3,Took some time but fixed.,Neutral
FB0150,CMP0017,RES827,5,Satisfied with service.,Positive
FB0151,CMP0232,RES662,2,Staff was rude.,Negative
FB0152,CMP0054,RES942,5,Very polite staff.,Positive
FB0153,CMP0117,RES431,3,Average service.,Neutral
FB0154,CMP0162,RES154,2,Still not working.,Negative
FB0155,CMP0028,RES729,2,Waste of time.,Negative
FB0156,CMP0154,RES196,5,Very polite staff.,Positive
FB0157,CMP0152,RES141,4,"Quick resolution, thanks!",Positive
FB0158,CMP0052,RES469,4,Issue fixed permanently.,Positive
FB0159,CMP0151,RES509,2,Still not working.,Negative
FB0160,CMP0167,RES154,3,Okay work.,Neutral
FB0161,CMP0017,RES714,1,Took 3 days to come.,Negative
FB0162,CMP0133,RES770,4,Excellent work.,Positive
FB0163,CMP0156,RES355,2,Took 3 days to come.,Negative
FB0164,CMP0069,RES650,2,Staff was rude.,Negative
FB0165,CMP0072,RES533,4,Excellent work.,Positive
FB0166,CMP0167,RES671,3,Average service.,Neutral
FB0167,CMP0072,RES471,1,Unprofessional.,Negative
FB0168,CMP0201,RES860,1,Still not working.,Negative
FB0169,CMP0148,RES262,1,Took 3 days to come.,Negative
FB0170,CMP0196,RES961,5,"Quick resolution, thanks!",Positive
FB0171,CMP0053,RES805,2,Staff was rude.,Negative
FB0172,CMP0147,RES813,2,Waste of time.,Negative
FB0173,CMP0165,RES351,4,"Quick resolution, thanks!",Positive
FB0174,CMP0160,RES827,3,Okay work.,Neutral
FB0175,CMP0106,RES418,2,Unprofessional.,Negative
FB0176,CMP0241,RES723,5,Very polite staff.,Positive
FB0177,CMP0151,RES859,1,Still not working.,Negative
FB0178,CMP0140,RES145,4,"Quick resolution, thanks!",Positive
FB0179,CMP0197,RES445,5,Issue fixed permanently.,Positive
FB0180,CMP0162,RES734,4,"Quick resolution, thanks!",Positive
FB0181,CMP0175,RES930,2,Staff was rude.,Negative
FB0182,CMP0042,RES126,1,Waste of time.,Negative
FB0183,CMP0004,RES299,4,"Quick resolution, thanks!",Positive
FB0184,CMP0156,RES736,2,Took 3 days to come.,Negative
FB0185,CMP0172,RES584,2,Waste of time.,Negative
FB0186,CMP0250,RES257,4,Satisfied with service.,Positive
FB0187,CMP0087,RES770,5,"Quick resolution, thanks!",Positive
FB0188,CMP0147,RES510,1,Took 3 days to come.,Negative
FB0189,CMP0194,RES548,3,Average service.,Neutral
FB0190,CMP0112,RES276,2,Took 3 days to come.,Negative
FB0191,CMP0244,RES246,3,Took some time but fixed.,Neutral
FB0192,CMP0201,RES772,4,Issue fixed permanently.,Positive
FB0193,CMP0226,RES794,5,Issue fixed permanently.,Positive
FB0194,CMP0100,RES706,4,"Quick resolution, thanks!",Positive
FB0195,CMP0178,RES175,3,Average service.,Neutral
FB0196,CMP0219,RES965,1,Still not working.,Negative
FB0197,CMP0228,RES782,5,"Quick resolution, thanks!",Positive
FB0198,CMP0233,RES724,5,"Quick resolution, thanks!",Positive
FB0199,CMP0189,RES541,4,"Quick resolution, thanks!",Positive
FB0200,CMP0190,RES276,4,Excellent work.,Positive
FB0201,CMP0206,RES357,1,Terrible service.,Negative
FB0202,CMP0144,RES360,4,"Quick resolution, thanks!",Positive
FB0203,CMP0072,RES842,3,Took some time but fixed.,Neutral
FB0204,CMP0196,RES481,1,Waste of time.,Negative
FB0205,CMP0171,RES137,2,Waste of time.,Negative
FB0206,CMP0007,RES144,1,Unprofessional.,Negative
FB0207,CMP0141,RES249,1,Took 3 days to come.,Negative
FB0208,CMP0049,RES154,3,Average service.,Neutral
FB0209,CMP0181,RES446,4,Very polite staff.,Positive
FB0210,CMP0234,RES768,4,Issue fixed permanently.,Positive
